title,description,category,brand,color,material,price,size,rating
Running Shoes,Durable and comfortable running shoes,Sports,Brand B,Green,Wood,296.31,1,2.2
Lipstick,Colorful building blocks for creative play,Home & Kitchen,Brand B,Red,Cotton,46.18,9,3.3
Mystery Novel,Long-lasting lipstick with vibrant color,Beauty,Brand D,Red,Metal,149.32,1,2.9
Non-stick Pan,Premium non-stick coating for healthy cooking,Home & Kitchen,Brand C,Gray,Leather,333.79,4,1.4
Headphones,High-quality sound with noise cancellation,Electronics,Brand A,White,Cotton,291.96,10,3.6
Smartphone,Latest smartphone with advanced features,Electronics,Brand C,Black,Plastic,899.99,6,4.8
Handbag,Spacious handbag with stylish design,Fashion,Brand A,Blue,Leather,75.49,5,3.9
Wristwatch,Stylish analog wristwatch with leather strap,Fashion,Brand B,Brown,Leather,249.99,2,4.5
Perfume,Refreshing fragrance for daily wear,Beauty,Brand D,Transparent,Glass,99.99,3,4.1
Gaming Mouse,Ergonomic design with high precision,Electronics,Brand A,Black,Plastic,45.99,7,4.6
Bluetooth Speaker,Portable speaker with deep bass sound,Electronics,Brand C,Red,Metal,129.99,8,4.3
Yoga Mat,Comfortable and non-slip surface for yoga,Fitness,Brand B,Purple,Rubber,39.99,6,4.2
Backpack,Spacious backpack with multiple compartments,Fashion,Brand A,Gray,Nylon,89.99,9,4.7
Laptop,High-performance laptop for work and gaming,Electronics,Brand C,Silver,Metal,1299.99,10,4.9
Microwave Oven,Efficient microwave oven with smart settings,Home & Kitchen,Brand B,White,Steel,199.99,8,4.4
Sunglasses,UV protection stylish sunglasses,Fashion,Brand D,Black,Plastic,79.99,3,4.0
Cookware Set,Complete cookware set for versatile cooking,Home & Kitchen,Brand C,Silver,Steel,149.99,7,4.5
Wireless Earbuds,True wireless earbuds with noise cancellation,Electronics,Brand A,Black,Plastic,59.99,5,4.2
Coffee Maker,Automatic coffee maker with multiple brew options,Home & Kitchen,Brand B,Black,Plastic,89.99,6,4.3
Digital Camera,Professional digital camera with 4K recording,Electronics,Brand D,Black,Metal,599.99,10,4.7
Smart TV,Ultra HD smart TV with streaming apps,Electronics,Brand C,Black,Plastic,799.99,10,4.8
Men's Sneakers,Lightweight and comfortable sneakers,Fashion,Brand A,White,Mesh,65.99,7,4.2
Women's Sandals,Stylish and comfortable sandals,Fashion,Brand B,Beige,Leather,45.99,6,4.0
Blender,Powerful blender for smoothies and soups,Home & Kitchen,Brand C,Red,Plastic,69.99,8,4.3
Bookshelf,Sturdy bookshelf with elegant design,Furniture,Brand A,Brown,Wood,149.99,9,4.1
Office Chair,Ergonomic office chair with lumbar support,Furniture,Brand D,Black,Leather,199.99,10,4.5
Tablet,High-performance tablet with stylus support,Electronics,Brand B,Silver,Plastic,399.99,9,4.6
Treadmill,Compact treadmill with multiple workout modes,Fitness,Brand C,Black,Metal,499.99,10,4.3
Dumbbell Set,Adjustable dumbbells for strength training,Fitness,Brand A,Gray,Metal,79.99,6,4.4
Electric Kettle,Fast boiling electric kettle with auto shut-off,Home & Kitchen,Brand B,White,Plastic,39.99,7,4.2
Vacuum Cleaner,Powerful vacuum cleaner with HEPA filter,Home & Kitchen,Brand D,Red,Plastic,129.99,8,4.5
Air Purifier,Efficient air purifier for clean indoor air,Home & Kitchen,Brand C,White,Plastic,249.99,9,4.6
Washing Machine,Front-load washing machine with smart features,Home & Kitchen,Brand B,Silver,Steel,599.99,10,4.8
Refrigerator,Double-door refrigerator with frost-free cooling,Home & Kitchen,Brand D,Gray,Steel,999.99,10,4.7
Water Bottle,Leak-proof water bottle with insulation,Sports,Brand A,Blue,Plastic,19.99,5,4.3
Camping Tent,Spacious and weather-resistant camping tent,Outdoor,Brand B,Green,Polyester,149.99,9,4.4
Hiking Backpack,Durable backpack for hiking and travel,Outdoor,Brand C,Black,Nylon,99.99,10,4.5
Fishing Rod,High-strength fishing rod with ergonomic grip,Outdoor,Brand D,Blue,Fiberglass,89.99,8,4.2
Sleeping Bag,All-weather sleeping bag for outdoor camping,Outdoor,Brand A,Gray,Polyester,69.99,7,4.3
Car Vacuum,Portable car vacuum cleaner with strong suction,Automobile,Brand B,Black,Plastic,49.99,6,4.1
Bike Helmet,Lightweight and protective bike helmet,Sports,Brand C,Red,Plastic,59.99,5,4.2
Tennis Racket,Professional tennis racket with enhanced grip,Sports,Brand D,Blue,Carbon Fiber,129.99,8,4.5
Football,Official size and weight football,Sports,Brand A,White,Leather,29.99,6,4.3
Basketball,High-quality basketball for indoor/outdoor play,Sports,Brand B,Orange,Rubber,39.99,7,4.4
Golf Club Set,Complete golf club set for all skill levels,Sports,Brand C,Silver,Steel,499.99,10,4.7
Projector,Full HD projector with wireless connectivity,Electronics,Brand D,Black,Plastic,349.99,9,4.6
Desk Lamp,Adjustable desk lamp with eye protection,Home & Kitchen,Brand A,White,Metal,29.99,6,4.2
Study Table,Compact study table with storage shelves,Furniture,Brand B,Brown,Wood,199.99,9,4.3
Wall Clock,Modern design wall clock for home decor,Home & Kitchen,Brand C,Black,Plastic,49.99,7,4.1
Iron,Steam iron with temperature control,Home & Kitchen,Brand D,Blue,Plastic,39.99,5,4.2
Gaming Console,Next-gen gaming console with 4K support,Electronics,Brand A,Black,Plastic,499.99,10,4.8
Massage Chair,Full-body massage chair with multiple modes,Furniture,Brand B,Black,Leather,999.99,10,4.7
Hair Dryer,Professional hair dryer with fast drying,Beauty,Brand C,Red,Plastic,69.99,6,4.3
Electric Shaver,Rechargeable electric shaver with precision,Beauty,Brand D,Silver,Metal,89.99,7,4.4
Action Camera,Waterproof action camera with 4K recording,Electronics,Brand A,Black,Plastic,199.99,9,4.5

